Tournament,Stage,Match Type,Team A,Team B,Team A Winrate vs B,Team A Winrate,Team A K/D Ratio,Team A Average Damage,Team A Average Combat Score,Team A Average First Kills,Team A Average First Deaths Per Round,Team B Winrate vs A,Team B Winrate,Team B K/D Ratio,Team B Average Damage,Team B Average Combat Score,Team B Average First Kills,Team B Average First Deaths Per Round,Team A Win
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers,FULL SENSE,100.0,50.0,1.32989898989899,134.45454545454547,211.40656565656565,7.525252525252525,0.08343434343434343,0.0,37.5,1.1388452960801623,132.38588850174216,204.58101045296166,5.788327526132404,0.4649477351916376,1
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings,Crazy Raccoon,100.0,33.33333333333333,1.2034775374376039,131.19,207.27166666666668,4.777038269550749,0.09871666666666667,0.0,16.666666666666664,1.1821410891089108,132.03960396039605,205.4740099009901,6.267326732673268,0.09205445544554455,1
Valorant Champions 2021,Group Stage,Opening (D),FNATIC,Cloud9,100.0,60.49382716049383,1.1824035149818148,133.31324921135646,205.19211356466877,6.123343848580442,0.1990410094637224,0.0,51.42857142857142,1.1080398930326874,131.93362193362194,204.09379509379508,5.6479076479076475,0.22898508898508899,1
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports,Team Secret,100.0,80.0,1.34141689373297,137.65395095367847,216.62534059945503,6.623978201634878,0.08437329700272479,0.0,33.33333333333333,1.0125466684234574,129.57250341997263,196.07592339261285,5.935020519835842,0.2859986320109439,1
Valorant Champions 2021,Group Stage,Opening (B),Sentinels,FURIA,50.0,55.932203389830505,1.1193275063538501,131.39356704011564,204.24213950126492,6.361763642934586,0.19513913986266718,50.0,30.0,1.0319872117676254,126.44857881136952,194.70230179028133,4.927365728900256,0.288625322997416,1
Valorant Champions 2021,Group Stage,Opening (B),KRÜ Esports,Team Liquid,0.0,38.0,1.0972633759233803,130.55898290954565,201.03709879116298,5.444768653605669,0.22129637348895373,100.0,59.70149253731343,1.1481855197091555,131.06814310051107,202.0664395229983,5.721976149914821,0.15554684838160138,0
Valorant Champions 2021,Group Stage,Winner's (D),Vision Strikers,FNATIC,0.0,50.0,1.32989898989899,134.45454545454547,211.40656565656565,7.525252525252525,0.08343434343434343,100.0,60.49382716049383,1.1824035149818148,133.31324921135646,205.19211356466877,6.123343848580442,0.1990410094637224,0
Valorant Champions 2021,Group Stage,Opening (A),ENVY,X10 Esports,50.0,55.55555555555556,1.1778636877870576,133.38242280285036,208.66627078384798,6.603325415676959,0.3803919239904988,50.0,42.857142857142854,1.158016877637131,133.14406779661016,209.11723163841808,6.50351617440225,0.09361581920903955,1
Valorant Champions 2021,Group Stage,Winner's (C),Gambit Esports,Team Vikings,100.0,80.0,1.34141689373297,137.65395095367847,216.62534059945503,6.623978201634878,0.08437329700272479,0.0,33.33333333333333,1.2034775374376039,131.19,207.27166666666668,4.777038269550749,0.09871666666666667,1
Valorant Champions 2021,Group Stage,Winner's (B),Team Liquid,Sentinels,100.0,59.70149253731343,1.1481855197091555,131.06814310051107,202.0664395229983,5.721976149914821,0.15554684838160138,0.0,55.932203389830505,1.1193275063538501,131.39356704011564,204.24213950126492,6.361763642934586,0.19513913986266718,1
Valorant Champions 2021,Group Stage,Opening (A),Acend,Keyd Stars,100.0,77.77777777777779,1.101825813221406,126.26337880377754,199.76600209863588,5.562434417628541,0.09421825813221407,0.0,20.0,1.036968152866242,126.6828025477707,195.29936305732485,5.370700636942675,0.10059872611464968,1
Valorant Champions 2021,Group Stage,Elimination (C),Team Secret,Crazy Raccoon,100.0,33.33333333333333,1.0125466684234574,129.57250341997263,196.07592339261285,5.935020519835842,0.2859986320109439,0.0,16.666666666666664,1.1821410891089108,132.03960396039605,205.4740099009901,6.267326732673268,0.09205445544554455,1
Valorant Champions 2021,Group Stage,Elimination (B),KRÜ Esports,FURIA,33.33333333333334,38.0,1.0972633759233803,130.55898290954565,201.03709879116298,5.444768653605669,0.22129637348895373,66.66666666666666,30.0,1.0319872117676254,126.44857881136952,194.70230179028133,4.927365728900256,0.288625322997416,1
Valorant Champions 2021,Group Stage,Elimination (D),FULL SENSE,Cloud9,0.0,37.5,1.1388452960801623,132.38588850174216,204.58101045296166,5.788327526132404,0.4649477351916376,100.0,51.42857142857142,1.1080398930326874,131.93362193362194,204.09379509379508,5.6479076479076475,0.22898508898508899,0
Valorant Champions 2021,Group Stage,Winner's (A),Acend,ENVY,100.0,77.77777777777779,1.101825813221406,126.26337880377754,199.76600209863588,5.562434417628541,0.09421825813221407,0.0,55.55555555555556,1.1778636877870576,133.38242280285036,208.66627078384798,6.603325415676959,0.3803919239904988,1
Valorant Champions 2021,Group Stage,Elimination (A),Keyd Stars,X10 Esports,0.0,20.0,1.036968152866242,126.6828025477707,195.29936305732485,5.370700636942675,0.10059872611464968,100.0,42.857142857142854,1.158016877637131,133.14406779661016,209.11723163841808,6.50351617440225,0.09361581920903955,0
Valorant Champions 2021,Group Stage,Decider (B),Sentinels,KRÜ Esports,33.33333333333334,55.932203389830505,1.1193275063538501,131.39356704011564,204.24213950126492,6.361763642934586,0.19513913986266718,66.66666666666666,38.0,1.0972633759233803,130.55898290954565,201.03709879116298,5.444768653605669,0.22129637348895373,0
